Sl.no,Brand,Product Category,Product Code,Base Material,Finish,Short Description,Long Description,Uom,Cost Price$,Weight/piece(kg),Packing Details,Carton Box Size(CM),Lead Time(days),HS CODE,Country Of Origin,Opening Stock,Opening Stock Date,Reorder Level,Currency
1,VIER,LOCK,ZRD7260,Stainless Steel 304,SSS,Din Roller Sash lock - 72mm c/c Backset 60mm,"ZOO Mortise Roller Sash lock with 72mm CTC, 60mm Backset 22mm Square forend SS304. Finish Satin Stailess Steel, As per BS EN 12209.Fire Rated.",Each,8.5,0.75,20 NOS/BOX,40x40x50,60,83026720,CHINA,800,1/18/2019,300,USD
2,ZOO,HINGE,ZHSS43,Stainless Steel 304,SSS,Grade 13 Ball Bearing Hinge Stainless Steel - Grade 304 - 100 x 75 x 3mm,"ZOO Hinge, 5 Knuckle, 2 ball bearing butt hinges size 102 x 76 x 3mm, in SS 304 and in Satin Stainless Steel. As per EN 1935, CE Marked. Suitable for door weights upto 120kgs. Fire-Rated.",Each,2.5,0.5,30 SETS/BOX,25x45x30,45,83025708,CHINA,1500,1/18/2019,500,USD
3,ZOO,HINGE,ZHSS43,Stainless Steel 304,PSS,Grade 13 Ball Bearing Hinge Stainless Steel - Grade 304 - 100 x 75 x 3mm,"ZOO Hinge, 5 Knuckle, 2 ball bearing butt hinges size 102 x 76 x 3mm, in SS 304 and in Polished Stainless Steel. As per EN 1935, CE Marked. Suitable for door weights upto 120kgs. Fire-Rated.",Each,3,0.5,30 SETS/BOX,25x45x30,45,83025708,CHINA,200,1/18/2019,50,USD
4,ZOO,ACCESSORIES,ZSS03S,Stainless Steel 304,SSS,"Unisex - Sex symbol, face fix, Stainless Steel, SSS finish","Unisex - Sex symbol, face fix, Stainless Steel, SSS finish",Each,1.2,0.2,60 NOS/BOX,40x30x50,45,8302630,CHINA,300,27/04/2019,50,USD
5,ZOO,HINGE,ZHSS243,Stainless Steel 201,SSS,Grade 13 Ball Bearing Hinge Stainless Steel - Grade 201 - 102 x 76 x 3mm,"ZOO Hinge, 5 Knuckle, 2 ball bearing butt hinges size 102 x 76 x 3mm, in SS 201 and in Satin Stainless Steel. As per EN 1935, CE Marked. Suitable for door weights upto 120kgs. Fire-Rated.",Each,1.75,0.5,40 SETS/BOX,30x50x30,45,83025708,CHINA,2500,1/18/2019,500,USD
6,VIER,LOCK,ZDL7255,Stainless Steel 304,SSS,Din Euro Sashlock - 72mm c/c   Backset 55mm,"ZOO Mortise Sash lock with 72mm CTC, 55mm Backset 22mm Square forend SS304. Double throw deadbolting, Prepared for euro profile cylinder including stike plate, Finish Satin Stailess Steel, As per BS EN 12209. Fire Rated.",Each,8,0.75,20 NOS/BOX,40x40x50,60,83026720,CHINA,2000,1/18/2019,300,USD
7,VIER,LOCK,ZDL0055R,Stainless Steel 316,PSS,Din Euro Deadlock - Backset 55mm Radius,"ZOO Mortise Dead lock with 72mm CTC, 55mm Backset 22mm Radius forend SS304. Double throw deadbolting, Prepared for euro profile cylinder including stike plate, Finish Satin Stailess Steel, As per BS EN 12209.Fire Rated.",Each,6.5,0.75,20 NOS/BOX,40x40x50,60,83026720,CHINA,2000,1/18/2019,300,USD
8,VIER,LOCK,ZDL0060L,Stainless Steel 304,PSS,Din Latch - Backset 60mm-PSS,"ZOO Mortise Latch lock with 72mm CTC, 60mm Backset 22mm Square forend SS304, including stike plate, Finish Polished Stailess Steel, As per BS EN 12209.Fire Rated.",Each,6.3,0.7,20 NOS/BOX,40x40x50,60,83026720,CHINA,500,1/18/2019,100,USD
9,VIER,LOCK,ZDL7860,Stainless Steel 304,SSS,Din Bathroom - 78mm c/c Backset 60mm,"ZOO Mortise Bathroom lock with 78mm CTC, 60mm Backset 22mm Square forend SS304. Finish Satin Stailess Steel, As per BS EN 12209.Fire Rated.",Each,7.2,0.75,20 NOS/BOX,40x40x50,60,83026720,CHINA,2000,1/18/2019,500,USD
10,VIER,CYLINDER,V5EP45SSCE,BRASS,SC,V5 45mm Single Cylinder - KTD   Architectural,"ZOO 5 pin Euro profile single cylinder with key operation, Length 45mm in satin chrome finish with 3 keys. As per EN 1303. Optional master keying can be done on request",Each,3.5,0.3,60 NOS/BOX,25x40x15,30,83010946,UK,1750,1/18/2019,300,USD
